Generator,Run,Loss,Time,Fit,Cos Sim,Est Rank
rand,21,rayleigh,0.679342,0.788661,0.982026,32.000000,
rand,21,gamma,0.439740,0.811237,0.982023,32.000000,
rand,21,huber (0.25),0.025146,0.000638,0.174026,32.000000,
rand,21,beta (0.3),0.581146,0.811233,0.982022,32.000000,
rand,22,normal,0.237392,0.811119,0.982000,32.000000,
rand,22,rayleigh,0.710310,0.788606,0.982003,32.000000,
rand,22,gamma,0.424221,0.811116,0.981999,32.000000,
rand,22,huber (0.25),0.025369,0.000636,0.173524,32.000000,
rand,22,beta (0.3),0.595084,0.811116,0.981999,32.000000,
rand,23,normal,0.184698,0.811025,0.981982,32.000000,
rand,23,rayleigh,0.674751,0.788501,0.981985,32.000000,
rand,23,gamma,0.421758,0.810924,0.981977,32.000000,
rand,23,huber (0.25),0.025290,0.000636,0.173423,32.000000,
rand,23,beta (0.3),0.595302,0.811026,0.981982,32.000000,
rand,24,normal,0.191403,0.811045,0.981986,32.000000,
rand,24,rayleigh,0.632413,0.788489,0.981988,32.000000,
rand,24,gamma,0.436056,0.810948,0.981980,32.000000,
rand,24,huber (0.25),0.025999,0.000637,0.173732,32.000000,
rand,24,beta (0.3),0.586588,0.811040,0.981985,32.000000,
rand,25,normal,0.197309,0.811020,0.981981,32.000000,
rand,25,rayleigh,0.677041,0.788524,0.981985,32.000000,
rand,25,gamma,0.434099,0.810898,0.981975,32.000000,
rand,25,huber (0.25),0.037383,0.000635,0.173323,32.000000,
rand,25,beta (0.3),0.595746,0.811019,0.981981,32.000000,
rand,26,normal,0.197797,0.811160,0.982008,32.000000,
rand,26,rayleigh,0.666686,0.788642,0.982011,32.000000,
rand,26,gamma,0.407963,0.811159,0.982008,32.000000,
rand,26,huber (0.25),0.026107,0.000636,0.173530,32.000000,
rand,26,beta (0.3),0.595948,0.811158,0.982007,32.000000,
rand,27,normal,0.188794,0.811066,0.981990,32.000000,
rand,27,rayleigh,0.684948,0.788565,0.981993,32.000000,
rand,27,gamma,0.426190,0.811064,0.981989,32.000000,
rand,27,huber (0.25),0.025438,0.000636,0.173514,32.000000,
rand,27,beta (0.3),0.594449,0.811063,0.981989,32.000000,
rand,28,normal,0.236233,0.811052,0.981987,32.000000,
rand,28,rayleigh,0.651208,0.788534,0.981989,32.000000,
rand,28,gamma,0.414587,0.811042,0.981985,32.000000,
rand,28,huber (0.25),0.026926,0.000637,0.173823,32.000000,
rand,28,beta (0.3),0.589011,0.811041,0.981985,32.000000,
rand,29,normal,0.182234,0.811068,0.981990,32.000000,
rand,29,rayleigh,0.648054,0.788532,0.981993,32.000000,
rand,29,gamma,0.450417,0.811066,0.981990,32.000000,
rand,29,huber (0.25),0.025638,0.000636,0.173546,32.000000,
rand,29,beta (0.3),0.602268,0.811063,0.981989,32.000000,
rand,30,normal,0.191317,0.811124,0.982001,32.000000,
rand,30,rayleigh,0.663075,0.788576,0.982004,32.000000,
rand,30,gamma,0.395064,0.811016,0.981995,32.000000,
rand,30,huber (0.25),0.023218,0.000636,0.173625,32.000000,
rand,30,beta (0.3),0.577635,0.811120,0.982000,32.000000,
rand,31,normal,0.201321,0.811024,0.981982,32.000000,
rand,31,rayleigh,0.687221,0.788490,0.981984,32.000000,
rand,31,gamma,0.412140,0.810920,0.981976,32.000000,
rand,31,huber (0.25),0.025913,0.000636,0.173602,32.000000,
rand,31,beta (0.3),0.605640,0.811020,0.981981,32.000000,
rand,32,normal,0.194143,0.811088,0.981994,32.000000,
rand,32,rayleigh,0.654339,0.788543,0.981996,32.000000,
rand,32,gamma,0.381794,0.810983,0.981987,32.000000,
rand,32,huber (0.25),0.025115,0.000637,0.173885,32.000000,
rand,32,beta (0.3),0.577875,0.811079,0.981992,32.000000,
rand,33,normal,0.181083,0.811111,0.981998,32.000000,
rand,33,rayleigh,0.697044,0.788581,0.982002,32.000000,
rand,33,gamma,0.397776,0.811004,0.981992,32.000000,
rand,33,huber (0.25),0.024266,0.000636,0.173475,32.000000,
rand,33,beta (0.3),0.597148,0.811109,0.981998,32.000000,
rand,34,normal,0.187972,0.810912,0.981960,32.000000,
rand,34,rayleigh,0.633511,0.788426,0.981963,32.000000,
rand,34,gamma,0.409588,0.810795,0.981953,32.000000,
rand,34,huber (0.25),0.026786,0.000636,0.173626,32.000000,
rand,34,beta (0.3),0.598123,0.810906,0.981959,32.000000,
rand,35,normal,0.192099,0.811117,0.982000,32.000000,
rand,35,rayleigh,0.669975,0.788583,0.982002,32.000000,
rand,35,gamma,0.443002,0.811112,0.981999,32.000000,
rand,35,huber (0.25),0.025891,0.000636,0.173685,32.000000,
rand,35,beta (0.3),0.589902,0.811109,0.981998,32.000000,
rand,36,normal,0.233549,0.811139,0.982004,32.000000,
rand,36,rayleigh,0.630126,0.788565,0.982006,32.000000,
rand,36,gamma,0.382575,0.811026,0.981997,32.000000,
rand,36,huber (0.25),0.027222,0.000637,0.173668,32.000000,
rand,36,beta (0.3),0.576788,0.811132,0.982002,32.000000,
rand,37,normal,0.192499,0.811114,0.981999,32.000000,
rand,37,rayleigh,0.667715,0.788602,0.982000,32.000000,
rand,37,gamma,0.471278,0.811102,0.981997,32.000000,
rand,37,huber (0.25),0.025557,0.000638,0.173968,32.000000,
rand,37,beta (0.3),0.597920,0.811100,0.981996,32.000000,
rand,38,normal,0.200205,0.811187,0.982013,32.000000,
rand,38,rayleigh,0.640249,0.788617,0.982016,32.000000,
rand,38,gamma,0.392248,0.811089,0.982007,32.000000,
rand,38,huber (0.25),0.023886,0.000636,0.173495,32.000000,
rand,38,beta (0.3),0.590582,0.811185,0.982013,32.000000,
rand,39,normal,0.183040,0.810893,0.981956,32.000000,
rand,39,rayleigh,0.652932,0.788380,0.981960,32.000000,
rand,39,gamma,0.413951,0.810797,0.981952,32.000000,
rand,39,huber (0.25),0.024199,0.000635,0.173396,32.000000,
rand,39,beta (0.3),0.615789,0.810894,0.981957,32.000000,
rand,40,normal,0.212856,0.811057,0.981988,32.000000,
rand,40,rayleigh,0.637345,0.788524,0.981989,32.000000,
rand,40,gamma,0.391218,0.810929,0.981981,32.000000,
rand,40,huber (0.25),0.025662,0.000638,0.174041,32.000000,
rand,40,beta (0.3),0.574130,0.811046,0.981986,32.000000,
rand,41,normal,0.186523,0.810949,0.981967,32.000000,
rand,41,rayleigh,0.654008,0.788435,0.981969,32.000000,
rand,41,gamma,0.459808,0.810944,0.981966,32.000000,
rand,41,huber (0.25),0.024232,0.000637,0.173741,32.000000,
rand,41,beta (0.3),0.595937,0.810942,0.981966,32.000000,
rand,42,normal,0.227523,0.810787,0.981936,32.000000,
rand,42,rayleigh,0.636009,0.788317,0.981939,32.000000,
rand,42,gamma,0.408393,0.810672,0.981929,32.000000,
rand,42,huber (0.25),0.030449,0.000637,0.173681,32.000000,
rand,42,beta (0.3),0.601874,0.810782,0.981935,32.000000,
rand,43,normal,0.192078,0.811209,0.982017,32.000000,
rand,43,rayleigh,0.657085,0.788616,0.982021,32.000000,
rand,43,gamma,0.409896,0.811117,0.982014,32.000000,
rand,43,huber (0.25),0.024501,0.000636,0.173505,32.000000,
rand,43,beta (0.3),0.598435,0.811211,0.982018,32.000000,
rand,44,normal,0.215690,0.810878,0.981954,32.000000,
rand,44,rayleigh,0.638377,0.788368,0.981956,32.000000,
rand,44,gamma,0.419536,0.810872,0.981952,32.000000,
rand,44,huber (0.25),0.024045,0.000637,0.173813,32.000000,
rand,44,beta (0.3),0.573181,0.810869,0.981952,32.000000,
rand,45,normal,0.194318,0.811052,0.981987,32.000000,
rand,45,rayleigh,0.683560,0.788516,0.981990,32.000000,
rand,45,gamma,0.436438,0.810954,0.981981,32.000000,
rand,45,huber (0.25),0.035902,0.000636,0.173600,32.000000,
rand,45,beta (0.3),0.589357,0.811050,0.981987,32.000000,
rand,46,normal,0.189708,0.811109,0.981998,32.000000,
rand,46,rayleigh,0.647207,0.788569,0.982001,32.000000,
rand,46,gamma,0.433955,0.811106,0.981998,32.000000,
rand,46,huber (0.25),0.027423,0.000636,0.173610,32.000000,
rand,46,beta (0.3),0.626388,0.811104,0.981997,32.000000,
rand,47,normal,0.213548,0.810993,0.981976,32.000000,
rand,47,rayleigh,0.685058,0.788451,0.981978,32.000000,
rand,47,gamma,0.424216,0.810895,0.981971,32.000000,
rand,47,huber (0.25),0.026126,0.000636,0.173595,32.000000,
rand,47,beta (0.3),0.609873,0.810990,0.981975,32.000000,
rand,48,normal,0.283281,0.811143,0.982005,32.000000,
rand,48,rayleigh,0.643534,0.788617,0.982009,32.000000,
rand,48,gamma,0.443027,0.811147,0.982005,32.000000,
rand,48,huber (0.25),0.026802,0.000635,0.173269,32.000000,
rand,48,beta (0.3),0.575863,0.811145,0.982005,32.000000,
rand,49,normal,0.194221,0.810925,0.981963,32.000000,
rand,49,rayleigh,0.679528,0.788418,0.981966,32.000000,
rand,49,gamma,0.435833,0.810923,0.981962,32.000000,
rand,49,huber (0.25),0.026788,0.000636,0.173436,32.000000,
rand,49,beta (0.3),0.602576,0.810920,0.981962,32.000000,
rand,50,normal,0.184808,0.810952,0.981968,32.000000,
rand,50,rayleigh,0.657262,0.788452,0.981971,32.000000,
rand,50,gamma,0.404410,0.810950,0.981967,32.000000,
rand,50,huber (0.25),0.034175,0.000636,0.173614,32.000000,
rand,50,beta (0.3),0.586251,0.810948,0.981967,32.000000,
rand,51,normal,0.190220,0.811073,0.981991,32.000000,
rand,51,rayleigh,0.699412,0.788537,0.981994,32.000000,
rand,51,gamma,0.408232,0.810958,0.981984,32.000000,
rand,51,huber (0.25),0.024510,0.000636,0.173567,32.000000,
rand,51,beta (0.3),0.589309,0.811067,0.981990,32.000000,
rand,52,normal,0.196000,0.811070,0.981991,32.000000,
rand,52,rayleigh,0.683521,0.788509,0.981993,32.000000,
rand,52,gamma,0.407872,0.810966,0.981985,32.000000,
rand,52,huber (0.25),0.024370,0.000636,0.173585,32.000000,
rand,52,beta (0.3),0.603361,0.811066,0.981990,32.000000,
rand,53,normal,0.183227,0.811120,0.982000,32.000000,
rand,53,rayleigh,0.663217,0.788563,0.982003,32.000000,
rand,53,gamma,0.409450,0.811018,0.981995,32.000000,
rand,53,huber (0.25),0.025352,0.000636,0.173580,32.000000,
rand,53,beta (0.3),0.611214,0.811118,0.982000,32.000000,
rand,54,normal,0.180026,0.811110,0.981998,32.000000,
rand,54,rayleigh,0.635014,0.788584,0.982002,32.000000,
rand,54,gamma,0.404410,0.811111,0.981998,32.000000,
rand,54,huber (0.25),0.025796,0.000635,0.173396,32.000000,
rand,54,beta (0.3),0.570789,0.811109,0.981998,32.000000,
rand,55,normal,0.198979,0.811226,0.982021,32.000000,
rand,55,rayleigh,0.674828,0.788661,0.982024,32.000000,
rand,55,gamma,0.415898,0.811113,0.982015,32.000000,
rand,55,huber (0.25),0.025934,0.000636,0.173552,32.000000,
rand,55,beta (0.3),0.606298,0.811222,0.982020,32.000000,
rand,56,normal,0.191486,0.811006,0.981978,32.000000,
rand,56,rayleigh,0.629487,0.788483,0.981982,32.000000,
rand,56,gamma,0.392477,0.810902,0.981973,32.000000,
rand,56,huber (0.25),0.026548,0.000635,0.173276,32.000000,
rand,56,beta (0.3),0.574293,0.811006,0.981978,32.000000,
rand,57,normal,0.188174,0.811050,0.981987,32.000000,
rand,57,rayleigh,0.678006,0.788501,0.981990,32.000000,
rand,57,gamma,0.414904,0.810955,0.981982,32.000000,
rand,57,huber (0.25),0.028710,0.000636,0.173395,32.000000,
rand,57,beta (0.3),0.595619,0.811052,0.981987,32.000000,
rand,58,normal,0.213510,0.810977,0.981973,32.000000,
rand,58,rayleigh,0.668735,0.788489,0.981975,32.000000,
rand,58,gamma,0.398329,0.810870,0.981966,32.000000,
rand,58,huber (0.25),0.024725,0.000636,0.173659,32.000000,
rand,58,beta (0.3),0.594686,0.810973,0.981972,32.000000,
rand,59,normal,0.183672,0.810976,0.981973,32.000000,
rand,59,rayleigh,0.666444,0.788455,0.981976,32.000000,
rand,59,gamma,0.407551,0.810878,0.981968,32.000000,
rand,59,huber (0.25),0.024244,0.000635,0.173382,32.000000,
rand,59,beta (0.3),0.600733,0.810976,0.981973,32.000000,
rand,60,normal,0.195575,0.811119,0.982000,32.000000,
rand,60,rayleigh,0.652673,0.788537,0.982003,32.000000,
rand,60,gamma,0.449993,0.811121,0.982000,32.000000,
rand,60,huber (0.25),0.025672,0.000636,0.173515,32.000000,
rand,60,beta (0.3),0.582658,0.811118,0.982000,32.000000,
rand,61,normal,0.195022,0.811078,0.981992,32.000000,
rand,61,rayleigh,0.678016,0.788513,0.981994,32.000000,
rand,61,gamma,0.416118,0.810974,0.981986,32.000000,
rand,61,huber (0.25),0.026851,0.000637,0.173721,32.000000,
rand,61,beta (0.3),0.603021,0.811073,0.981991,32.000000,
rand,62,normal,0.210016,0.811152,0.982006,32.000000,
rand,62,rayleigh,0.657144,0.788630,0.982009,32.000000,
rand,62,gamma,0.439472,0.811151,0.982006,32.000000,
rand,62,huber (0.25),0.026013,0.000635,0.173424,32.000000,
rand,62,beta (0.3),0.565513,0.811148,0.982006,32.000000,
rand,63,normal,0.186413,0.811030,0.981983,32.000000,
rand,63,rayleigh,0.667480,0.788520,0.981986,32.000000,
rand,63,gamma,0.460621,0.811030,0.981983,32.000000,
rand,63,huber (0.25),0.026367,0.000636,0.173450,32.000000,
rand,63,beta (0.3),0.595774,0.811029,0.981983,32.000000,
rand,64,normal,0.187388,0.811100,0.981996,32.000000,
rand,64,rayleigh,0.673621,0.788574,0.981999,32.000000,
rand,64,gamma,0.452269,0.810976,0.981989,32.000000,
rand,64,huber (0.25),0.026818,0.000636,0.173659,32.000000,
rand,64,beta (0.3),0.578147,0.811092,0.981995,32.000000,
rand,65,normal,0.202101,0.810888,0.981956,32.000000,
rand,65,rayleigh,0.714792,0.788369,0.981959,32.000000,
rand,65,gamma,0.434939,0.810889,0.981956,32.000000,
rand,65,huber (0.25),0.026319,0.000635,0.173352,32.000000,
rand,65,beta (0.3),0.595589,0.810886,0.981955,32.000000,
rand,66,normal,0.190284,0.811129,0.982002,32.000000,
rand,66,rayleigh,0.654641,0.788611,0.982005,32.000000,
rand,66,gamma,0.412113,0.811125,0.982001,32.000000,
rand,66,huber (0.25),0.025605,0.000636,0.173481,32.000000,
rand,66,beta (0.3),0.594802,0.811124,0.982001,32.000000,
rand,67,normal,0.204899,0.810953,0.981968,32.000000,
rand,67,rayleigh,0.709526,0.788433,0.981971,32.000000,
rand,67,gamma,0.434739,0.810851,0.981963,32.000000,
rand,67,huber (0.25),0.037255,0.000636,0.173559,32.000000,
rand,67,beta (0.3),0.618910,0.810951,0.981968,32.000000,
rand,68,normal,0.201000,0.811092,0.981995,32.000000,
rand,68,rayleigh,0.669396,0.788557,0.981997,32.000000,
rand,68,gamma,0.441549,0.810981,0.981989,32.000000,
rand,68,huber (0.25),0.028701,0.000637,0.173734,32.000000,
rand,68,beta (0.3),0.637471,0.811087,0.981994,32.000000,
rand,69,normal,0.196950,0.811011,0.981979,32.000000,
rand,69,rayleigh,0.672255,0.788502,0.981983,32.000000,
rand,69,gamma,0.406800,0.810897,0.981974,32.000000,
rand,69,huber (0.25),0.024704,0.000635,0.173385,32.000000,
rand,69,beta (0.3),0.606987,0.811010,0.981979,32.000000,
rand,70,normal,0.186034,0.810974,0.981972,32.000000,
rand,70,rayleigh,0.637976,0.788487,0.981976,32.000000,
rand,70,gamma,0.434317,0.810977,0.981973,32.000000,
rand,70,huber (0.25),0.025140,0.000635,0.173147,32.000000,
rand,70,beta (0.3),0.587267,0.810974,0.981972,32.000000,
rand,71,normal,0.210623,0.811007,0.981979,32.000000,
rand,71,rayleigh,0.723553,0.788470,0.981981,32.000000,
rand,71,gamma,0.426199,0.810906,0.981973,32.000000,
rand,71,huber (0.25),0.027736,0.000637,0.173782,32.000000,
rand,71,beta (0.3),0.613008,0.811003,0.981978,32.000000,
